id;serial_number;appliance_name;appliance_desc;category_id;status;appliance_brand;appliance_model;purchase_id;created_at;updated_at
1;Pre-emptive Architect ADP;Shoes;Officer project;69290;UNUSED;Berkshire Fantastic Plastic Cheese focus group;Horizontal Unbranded Plastic Pants Colorado;6564;2020-05-09;2020-05-08
2;Handmade Sports value-added;infrastructure Factors;Fresh Ergonomic Frozen Hat;32609;OLD;Awesome Money Market Account;multi-byte red;10459;2020-05-08;2020-05-08
3;Monitored;Virginia Sports;Turkish Lira data-warehouse;73977;UNUSED;Cloned generate Iceland;superstructure utilize;58085;2020-05-09;2020-05-08
4;Optimization Computers Tokelau;local architecture;Bangladesh calculating;59406;UNUSED;Dynamic;backing up;30614;2020-05-09;2020-05-08
5;JSON;one-to-one next generation;Buckinghamshire red pixel;14188;OLD;next-generation Handcrafted wireless;throughput;3202;2020-05-08;2020-05-09
6;Brand Planner;systems;Money Market Account Shoes back up;88324;SOLD;Afghani;TCP iterate SAS;70089;2020-05-08;2020-05-08
7;analyzer;Mouse generate;transmitter RSS International;65848;SOLD;orchid;AGP;39155;2020-05-08;2020-05-08
8;Team-oriented yellow;RSS;Martinique attitude-oriented;82345;UNUSED;even-keeled;Gorgeous Metal Chips Ohio;41946;2020-05-08;2020-05-08
9;Brazil;Books generating lime;Manager Avon;94970;SOLD;e-commerce;Small cross-platform;60535;2020-05-09;2020-05-09
10;Fantastic Wooden Computer;Toys;Tactics;1807;UNUSED;AGP teal Dynamic;Texas;16403;2020-05-09;2020-05-08
